社名,本社所在地,設立,転職エージェント数,職業紹介許可番号,紹介事業許可年,ホームページ,注力職種,注力エリア
株式会社Skill Matching フードパートナーズ事業部,〒541-0056 大阪府大阪市中央区久太郎町4-2-12 本町TDビル8階,2017年3月,2名,登録なし,平成29年6月1日,http://foodpartners.jp/lp/,販売・フード・アミューズメント,関西
star arts株式会社,〒102-0083 東京都千代田区麹町4-8-1 クリスタルシティ西館 THE MOCK-UP TOKYO 213,2012年4月,5名,登録なし,平成29年4月1日,http://stararts.co.jp/,営業 / 企画・経営 / 管理・事務 / 美容・ホテル・ブライダル・交通 / 医療・福祉 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社スターリーグ,〒150-0032 東京都渋谷区鶯谷町15－9　カザマビル401,2016年3月,登録なし,登録なし,2016年8月,https://star.careers/company/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム,関東 / 関西 / 九州
株式会社SPACIVAL,〒101-0032 東京都千代田区岩本町3-3-3 秋葉原サザンビル6階,2017年10月5日,3名,登録なし,2018年2月1日,http://spacival.com/index.html,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 医療・福祉 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体,関東
Spring転職エージェント（アデコ株式会社）,〒107-0062 東京都港区南青山1-15-9,1985年7月29日,登録なし,登録なし,2000年11月,http://www.springjapan.com/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,関東 / 関西 / 東海
Spotted Recruit（株式会社SPOTTED）,〒103-0026 東京都中央区日本橋兜町5-1　兜町第一平和ビル3階,2017年4月,登録なし,登録なし,2017年8月,http://spottedrecruit.com/,営業 / 管理・事務 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,関東
株式会社スポーツフィールド,〒162-0845 東京都新宿区市谷本村町3-29　FORECAST市ヶ谷4F,2009年,23名,登録なし,2009年,http://www.sports-f.co.jp/,営業 / 企画・経営 / 保育・教育・通訳 / クリエイティブ / 建築・土木,北海道・東北 / 関東 / 関西 / 東海 / 九州
株式会社3Backs,〒151-0051 東京都渋谷区千駄ヶ谷2-9-6 バルビゾン3番館 B1,2009年11月26日,3名,登録なし,平成29年8月1日,http://www.3backs.com/,営業 / 企画・経営 / 管理・事務 / ITエンジニア,登録なし
株式会社スリールアーク,〒141-0032 東京都品川区大崎5-1-5 高徳ビル4階,2016年7月1日,登録なし,登録なし,2017年7月1日,http://www.sourirearc.jp/,販売・フード・アミューズメント,関東
株式会社セゾンパーソナルプラス,〒170-0013 東京都豊島区東池袋1-33-8 NBF池袋タワー6階,2002年11月1日,登録なし,登録なし,2005年8月1日,http://www.saison-psp.co.jp/,営業 / 管理・事務,関東
戦力エージェント株式会社,〒160-0022 東京都新宿区新宿1-4-11　御苑一丁目ビル 8F,平成9年10月,5名,登録なし,平成14年4月,http://www.senage.co.jp/,営業 / 企画・経営 / 管理・事務,登録なし
株式会社セールスキャリアエージェント,〒104-0045 東京都中央区築地2-12-6 SK東銀座ビル5階,2014年7月22日,10名,登録なし,2014年,http://www.sales-career-agent.co.jp/,営業,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社ZENITH,〒466-0064 愛知県名古屋市昭和区鶴舞3丁目12-2,2017年1月27日,2名,登録なし,2017年5月1日,https://www.zenith-agent.co.jp,営業,東海
株式会社ゼネラルリンク,〒150-0002 東京都渋谷区渋谷2-12-9　エスティ青山ビルB1F、2F、3F（受付：3F）,2004年10月,5名,登録なし,平成28年10月01,https://general-link.co.jp/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,関東 / 北信越
株式会社ソシアリンク,〒160-0023 東京都新宿区西新宿1-8-1　新宿ビルディング6階,2002年9月,4名,登録なし,2002年,http://www.socialink.co.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / WEB・インターネット・ゲーム / 医薬・食品・化学・素材,北海道・東北 / 関東 / 関西 / 東海
株式会社ソルパック,〒106-0032 東京都港区六本木 4-1-4　黒崎ビル8階,1997年9月17日,4名,登録なし,2001/4/1,http://www.solpac.co.jp/,ITエンジニア,関東
大成交易株式会社,〒108-0023 東京都港区芝浦3丁目14番19号,昭和４３年４月２日,登録なし,登録なし,２０１７年１月,登録なし,営業,関東
株式会社宝木スタッフサービス,〒321-0953 栃木県宇都宮市東宿郷5-2-5,平成2年1月,登録なし,登録なし,平成10年6月,http://www.takaragi.co.jp/index.html,美容・ホテル・ブライダル・交通 / 営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 医療・福祉 / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,関東 / 北海道・東北 / 北信越 / 関西 / 東海
株式会社ＴＡＣプロフェッションバンク,〒101-0061 東京都千代田区三崎町3-2-14　ＴＣ水道橋ビル7Ｆ,２００１年５月,登録なし,登録なし,2001年,http://tacnavi.com/index.html,管理・事務 / コンサルタント・金融・不動産専門職,関西 / 関東 / 東海
株式会社ダイナリィ,〒802-0076 福岡県北九州市小倉北区中島1-17-13　ダイナリィコアビル1F,平成12年10月10日,2名,登録なし,平成14年12月,http://www.dynary.co.jp/,管理・事務 / 営業 / 企画・経営 / 医療・福祉 / 保育・教育・通訳 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 技能工・設備・倉庫・農林水産・他,九州
株式会社ダイネンヒューマンplus,〒670-0012 兵庫県姫路市本町240番地　大手前ダイネンBLD．5階,2006年2月,7名,登録なし,2006年,https://career.hari-match.com/,電気・電子・機械・半導体,関西
株式会社ダンネット,〒103-0012 東京都中央区日本橋堀留町1-5-7 YOUビル2階,2005年8月1日,14名,登録なし,2005年11月,http://www.dannet.jp/,管理・事務 / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,その他海外
株式会社Change Value,〒151-0051 東京都渋谷区千駄ヶ谷五丁目26番5号2階,2015年11月,3名,登録なし,2016年,http://changevalue.jp/,営業 / 企画・経営 / 管理・事務 / ITエンジニア,関東
株式会社　ツクリベニッセ,〒173-0033 東京都板橋区大山西町45-3,1998年5月15日,2名,登録なし,2007年,http://www.tsukuribe-nisse.co.jp/index.html,営業,登録なし
株式会社テクニカルエージェント,〒482-0022 愛知県岩倉市栄町2-21　あすなろビル3階,2013年7月,1名,登録なし,平成26年04月01,http://technical-agent.jp/,電気・電子・機械・半導体 / ITエンジニア,東海
テクノインテリジェンスサービス株式会社,〒260-0028 千葉県千葉市中央区新町1000,1993年7月1日,6名,登録なし,2003年,http://tis-jinzai.com,管理・事務 / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,登録なし
株式会社テクノプロ・コンストラクション（東証一部 テクノプロホールディングス グループ）,〒106-6135 東京都港区六本木6-10-1　六本木ヒルズ森タワー35F,2008年11月,13名,登録なし,2009年,http://www.technopro-construction.com/,建築・土木,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
転職会議エージェント（株式会社リブセンス）,〒141-0021 東京都品川区上大崎2-25-2 新目黒東急ビル5F,2006年2月8日,14名,登録なし,平成25年8月1日,http://www.livesense.co.jp/,管理・事務 / 営業 / 企画・経営 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 建築・土木,関東 / 関西 / 東海
テンプスタッフ・クリエイティブ株式会社,〒107-0061 東京都港区北青山3-5-14 青山鈴木硝子ビル4階,２００２年,登録なし,登録なし,２００２年８月,http://www.tempcreative.co.jp/,クリエイティブ / WEB・インターネット・ゲーム,関東
テンプスタッフフォーラム株式会社,〒950-0087 新潟県新潟市中央区東大通1-7-10 新潟セントラルビル6F,1988年4月23日,4名,登録なし,1999年2月1日,https://career.tempstaff-forum.co.jp/,管理・事務 / 営業 / 企画・経営 / 建築・土木,北信越 / 関東 / 中国・四国 / 九州
株式会社テンプ・マキノ,〒663-8113 兵庫県西宮市甲子園口2丁目28-20　林ビル3階,2006年11月,登録なし,登録なし,2007年,http://temp-makino.com/,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / 医療・福祉 / ITエンジニア / 医薬・食品・化学・素材,関西 / 関東 / 東海
株式会社 ディーエスキャリア,〒105-0004 東京都港区新橋4-27-1　セントラルビル6F,2016年5月26日,2名,登録なし,2016年9月,http://ds-career.co.jp/,管理・事務 / 建築・土木,登録なし
東京事務代行株式会社,〒105-0012 東京都港区芝大門2-5-5　住友芝大門ビル4階,昭和40年9月,登録なし,登録なし,平成15年,https://tokyo-jimukyujin.com/corporate,企画・経営 / 管理・事務,関東
東レエンタープライズ株式会社,〒103-0023 東京都中央区日本橋本町1-5-9　ＫＤＸ日本橋本町ビル,１９７２年１月,登録なし,登録なし,１９８９年,http://www.toray-enter.co.jp/,クリエイティブ / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,【国内】 関東 / 関西 【海外】 中国 / その他アジア
東レエンタープライズ株式会社　人材サービス部,〒103-0023 東京都中央区日本橋本町1-5-9　ＫＤＸ日本橋本町ビル,１９７２年１月,登録なし,登録なし,１９８９年,http://www.toray-enter.co.jp/,営業 / 管理・事務 / 医療・福祉,関東 / 関西 / 東海
株式会社都市整備技術研究所（転職・キャリアメンター）,〒105-0022 東京都港区海岸1-2-3　汐留芝離宮ビルディング21F,平成2年6月4日,登録なし,登録なし,平成27年11月1日,http://www.tcareer-mentor.jp/,管理・事務 / 営業 / 企画・経営 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / コンサルタント・金融・不動産専門職 / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 技能工・設備・倉庫・農林水産・他,【国内】 関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州 【海外】 シンガポール / その他アジア / アメリカ・カナダ
株式会社Tryfunds,〒105-0003 東京都港区西新橋3丁目24番10号 ハリファックス御成門ビル3階,2012年9月,登録なし,登録なし,平成27年7月1日,http://www.tryfunds.co.jp/,企画・経営 / 営業 / 管理・事務 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体,【国内】 中国・四国 / 関東 / 九州 【海外】 その他海外
株式会社トライブ,〒150-0044 東京都渋谷区円山町5-5　NAVI渋谷V5階,2006年5月23日,50名,登録なし,2008年,https://tribe.bz/contents/,WEB・インターネット・ゲーム / クリエイティブ / ITエンジニア,関東
株式会社トライポイント,〒540-0008 大阪府大阪市中央区大手前1-6-4 リップル天満橋ビル3F,2005年11月,2名,登録なし,平成21年2月,http://www.tripoint.co.jp/,建築・土木,登録なし
トラスト＆パッションカンパニー株式会社,〒113-0033 東京都文京区本郷3−2−6　クレスト山の上ビル　2階,2014/5/21,登録なし,登録なし,2014/8/1,http://www.t-and-p.co.jp/,登録なし,関東 / 関西 / 九州
株式会社トラスト・プラン,〒107-0052 東京都港区赤坂3丁目13-3 赤坂セントラルビル7F,2010年,登録なし,登録なし,平成28年08月,http://www.trustplan.jp/,営業 / 企画・経営 / 管理・事務 / 保育・教育・通訳 / ITエンジニア / 建築・土木,登録なし
トランク株式会社,〒150-0013 東京都渋谷区恵比寿 3-3-8 ラピツカキヌマ　3階,2009年10月1日,10名,登録なし,2012年7月,http://trunkc.jp/,営業 / 企画・経営 / 管理・事務 / クリエイティブ / WEB・インターネット・ゲーム,【国内】 関東 【海外】 その他海外
株式会社eee（トリプルイー）,〒541-0048 大阪府大阪市中央区瓦町3-3-16 OWL瓦町ビル701号室,2015年8月25日,2名,登録なし,2015年11月,http://eee-g.net/index.html,建築・土木,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国
株式会社トレジャー・パーソンズ,〒162-0812 東京都新宿区西五軒町8-10臼井ビル５階,2016年4月15日,5名,登録なし,2016年８月,http://www.trep.jp,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体,関東 / 関西
株式会社トーテック,〒100-0006 東京都千代田区有楽町1-7-1 有楽町電気ビル北館6Ｆ,2003年 2月,14名,登録なし,2003年10月1日,http://www.totec-net.com/,電気・電子・機械・半導体 / 営業 / WEB・インターネット・ゲーム / ITエンジニア / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,関東 / 関西 / 九州
株式会社ドルチェインターナショナル,〒107-0052 東京都港区赤坂６−３−１２,１９９９年１１月,23名,登録なし,２００２年１月,http://www.dolceintl.com/,電気・電子・機械・半導体 / 医療・福祉 / 管理・事務,登録なし
株式会社ナインサーチ,〒812-0013 福岡県福岡市博多区博多駅東1-10-4　ＭＡＳビル2階,2016年7月22日,2名,登録なし,2016年,www.ninesearch.co.jp,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職,九州 / 中国・四国
有限会社ナカムラ電装,〒160-0023 東京都新宿区西新宿（次のビルを除く）7－7－27第一守徳ビル4階 JR　新宿駅　西口から徒歩10分 大江戸線　新宿西口　D５出口より、西新宿７丁目郵便局を過ぎ、新宿都税事務所の信号の先、守徳ビル４階です。,1987年,2名,登録なし,2017年5月,https://www.nakamura-den.com/,営業 / 企画・経営 / 医療・福祉 / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
西日本エリートスタッフ株式会社,〒830-0017 福岡県久留米市日吉町15-60　ニッセイ久留米ビル9F,1987年10月,2名,登録なし,平成10年05月01,http://www.elite-staff.com/,登録なし,九州
日総工産株式会社,〒222-0033 神奈川県横浜市港北区新横浜1-4-1 日総工産新横浜ビル,1971年2月3日,6名,登録なし,2002年8月,http://www.nisso.co.jp/,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / WEB・インターネット・ゲーム / ITエンジニア / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,【国内】 関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州 【海外】 中国 / その他アジア
日総ブレイン株式会社,〒230-0062 神奈川県横浜市神奈川区鶴屋町 2-23-2 TSプラザビルディング16F,1986年3月13日,4名,登録なし,平成12年8月,https://www.nsbrain.jp/,営業 / 企画・経営 / 管理・事務 / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,【国内】 北海道・東北 / 北信越 / 関東 / 関西 / 中国・四国 / 九州 【海外】 中国 / 韓国 / その他アジア
株式会社日本調理師協会,〒160-0022 東京都新宿区新宿1-36-2新宿第七葉山ビル3階,1978年（昭和53年）,登録なし,登録なし,昭和60年,http://www.chorishi.net/,販売・フード・アミューズメント,登録なし
株式会社日本テレビ人材センター,〒105-0021 東京都港区東新橋2-3-3 ルオーゴ汐留6階,1987年3月3日,4名,登録なし,平成17年11月1日,http://www.ntvpc.co.jp/,営業 / 管理・事務 / クリエイティブ / WEB・インターネット・ゲーム,関東
株式会社日本みらいケア,〒180-0004 東京都武蔵野市吉祥寺本町1-31-11 KSビル11階,2016年2月,3名,登録なし,2016年,http://miraicare.co.jp/,医療・福祉 / 営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職,関東
株式会社ニューキャリア,〒105-0003 東京都港区西新橋1-11-3　虎ノ門アサヒビル5階,2003/7/17,5名,登録なし,2003年10月1日,http://www.newcareer.co.jp/,管理・事務 / 電気・電子・機械・半導体,登録なし
株式会社NEO STAFF（転職支援サービス NEO STAFF NEXT）,〒980-6126 宮城県仙台市青葉区1‐3‐1 AERビル29F,2005年7月11日,登録なし,登録なし,平成20年8月1日,http://neo-staff-next.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / WEB・インターネット・ゲーム / ITエンジニア / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,北海道・東北
株式会社ネットセーブ,〒107-0052 東京都港区赤坂1-4-1 赤坂KSビル4階,2000年11月1日,登録なし,登録なし,平成17年10月,登録なし,建築・土木 / 技能工・設備・倉庫・農林水産・他,その他アジア
株式会社ノース,〒221-0835 神奈川県横浜市神奈川区鶴屋町2-22-3 伊藤ビル5F,2004年3月,2名,登録なし,2010年,https://north-h.jp/,営業 / 販売・フード・アミューズメント / ITエンジニア,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
八洋企画株式会社,〒810-0071 福岡県福岡市中央区那の津3-7-7,昭和49年08月,登録なし,登録なし,2017年4月,登録なし,営業 / 管理・事務 / 販売・フード・アミューズメント,九州 / 関東 / 関西
株式会社ハッピー・マーク,〒550-0014 大阪府大阪市西区北堀江1-1-7　四ツ橋日生ビル本館8F,2011年11月,登録なし,登録なし,2012年3月1日,http://www.happy-mark.co.jp/,保育・教育・通訳 / 営業 / 企画・経営 / 管理・事務,関西 / 関東
パナソニック エクセルスタッフ株式会社,〒540-6102 大阪府大阪市中央区城見2-1-61　TWIN21MIDタワー2階,1989年3月,9名,登録なし,1989年,https://tensyoku-excel.panasonic.co.jp/,営業,登録なし
株式会社パーソネル,〒460-0003 愛知県名古屋市中区錦三丁目23番18号　ニューサカエビル7F,1997年9月19日,5名,登録なし,1997年,http://www.perso.co.jp,登録なし,登録なし
バレットグループ株式会社,〒160-0022 東京都新宿区新宿5-18-14　新宿北西ビル10F,2013年,1名,登録なし,2013年,https://bltinc.co.jp/,医療・福祉 / ITエンジニア,関東
株式会社バンステーション,〒530-0005 大阪府大阪市北区中之島4-2-28　甲南アセット中之島,1992年,登録なし,登録なし,1992年,http://www.vanstation.com,企画・経営 / 営業 / 管理・事務 / 医療・福祉 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,【国内】 関西 / 東海 / 中国・四国 【海外】 その他アジア
株式会社パコム,〒541-0048 大阪府大阪市中央区瓦町4丁目3-7　OSJ御堂筋瓦町ビル2階,1995年8月,3名,登録なし,2004年,http://www.pacom.co.jp/,営業 / 管理・事務 / 販売・フード・アミューズメント / WEB・インターネット・ゲーム,登録なし
株式会社パシフィックキャリアデザイン,〒461-0001 愛知県名古屋市東区泉一丁目23番37号　パシフィックビルディング6階,2016年12月,5名,登録なし,2017年3月,https://p-cd.co.jp,営業 / 医療・福祉 / 保育・教育・通訳 / 電気・電子・機械・半導体 / 技能工・設備・倉庫・農林水産・他,東海
株式会社パソナ　パソナキャリアカンパニー,〒100-8228 東京都千代田区大手町2-6-2　パソナグループ本部ビル『Job-Hubスクエア』7階,１９８８年４月１４日,150名,登録なし,２０００年,http://www.pasonacareer.jp/,管理・事務 / 営業 / 企画・経営 / 医療・福祉 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材,関東 / 関西 / 東海
株式会社パソナ　パソナカンパニー　グローバル事業本部,〒100-8228 東京都千代田区大手町2-6-2　JOB HUB SQUARE,1988年4月14日,登録なし,登録なし,平成12年8月1日,http://www.pasona-global.com,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材,【国内】 関東 / 関西 【海外】 その他アジア / 中国 / 香港 / シンガポール / メキシコ・ブラジル / ヨーロッパ / その他海外
株式会社パソナヒューマンソリューションズ,〒105-0001 東京都港区虎ノ門1-16-16 虎ノ門１丁目ＭＧビルディング　６Ｆ／７Ｆ,昭和60年4月26日,4名,登録なし,平成9年11月,https://www.pasona-hs.co.jp,ITエンジニア / 営業 / 企画・経営 / 管理・事務 / WEB・インターネット・ゲーム / 建築・土木 / 技能工・設備・倉庫・農林水産・他,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
株式会社パック・エックス,〒105-0021 東京都港区東新橋2-4-1　サンマリーノ汐留6Ｆ,1994年2月,登録なし,登録なし,2014年10月,https://www.pac-ex.com/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
パナキャリア株式会社,〒273-0101 千葉県鎌ケ谷市富岡3-4-21,2014年11月,登録なし,登録なし,2015年2月,http://www.panacareer.jp,建築・土木 / 販売・フード・アミューズメント / 医薬・食品・化学・素材,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社パレッツ,〒810-0001 福岡県福岡市中央区天神3丁目3番5号　天神大産ビル3Ｆ,平成14年10月1日,登録なし,登録なし,平成18年1月1日,http://www.pallets.co.jp,ITエンジニア / 営業,九州
パーソルテンプスタッフ株式会社（キャリアプロモーションセンター）,〒100-0005 東京都渋谷区代々木2-1-1新宿マインズタワー,1973年(昭和48年)　5月,10名,登録なし,1999年,http://www.tempstaff.co.jp/,管理・事務 / 企画・経営,関東
パーソルテンプスタッフ株式会社,〒151-0053 東京都渋谷区東京都渋谷区代々木2-1-1 新宿マインズタワー,1973年(昭和48年)　5月,登録なし,登録なし,1999年,http://www.tempstaff.co.jp/,管理・事務 / 営業 / 企画・経営,関東
【京都エリアに特化した転職エージェント】　株式会社ヒトコト,〒604-8153 京都府京都市中京区烏丸通四条上ル笋町 688　第15長谷ビル5F,2006年6月30日,4名,登録なし,2007年,http://www.kotonokoto.jp/,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,関西
株式会社ヒューネル,〒169-0074 東京都新宿区北新宿1-5-2佐藤ビル3F,2006年9月,登録なし,登録なし,2013年,https://www.hunel.co.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント,関東
株式会社ヒュープロ,〒211-0065 神奈川県川崎市中原区今井仲町,2015年11月19日,登録なし,登録なし,2016年,http://hupro.jp/samuraicareer/,管理・事務 / 企画・経営,関東 / 関西 / 九州
株式会社ヒューマリッジ,〒101-0051 東京都千代田区神田神保町2-23-4,2015年11月,3名,登録なし,平成29年1月,http://www.huemaridge.co.jp,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
株式会社ヒューマン・アセット・マネジメント,〒113-0033 東京都文京区本郷2-40-13　本郷コーポレイション1002号室,2016年4月,登録なし,登録なし,2016年8月,登録なし,管理・事務 / 営業 / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,関東
株式会社ヒューマン・インベントリー,〒101-0052 東京都千代田区神田小川町1-1 神田室町ビル４階,平成13年10月1日（合併）,登録なし,登録なし,平成9年7月1日,http://www.human-in.co.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント,関東 / 関西
株式会社ヒューマンスタイリング,〒107-0062 東京都港区南青山3-13-2　山川ビル3階,2010年9月,登録なし,登録なし,2016年4月,登録なし,営業 / 企画・経営 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 医療・福祉 / ITエンジニア / 建築・土木 / 医薬・食品・化学・素材,北海道・東北 / 北信越 / 関東 / 関西 / 東海
ヒューマンステージ株式会社,〒541-0053 大阪府大阪市中央区本町3-2-6　本町ドリームビル,1987年1月,46名,登録なし,平成11年,http://www.human.or.jp/,企画・経営 / 営業 / 管理・事務 / ITエンジニア / 電気・電子・機械・半導体,関西 / 関東 / 東海
ヒューマンタッチ株式会社　東京本社,〒160-0023 東京都新宿区西新宿7-5-25　西新宿木村屋ビル1F,2012年4月,75名,登録なし,2012年8月,http://human-touch.jp/career/,建築・土木 / 電気・電子・機械・半導体,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
ヒューマンタッチ株式会社　大阪支社,〒542-0081 大阪府大阪市中央区南船場4-4-21　 りそな船場ビル7階,平成24年8月1日,75名,登録なし,2012年8月,https://human-touch.jp/,電気・電子・機械・半導体 / 建築・土木,関西 / 北海道・東北 / 北信越 / 関東 / 東海 / 中国・四国 / 九州
株式会社ヒューマン・ハーバー,〒171-0022 東京都豊島区南池袋2-30-8　友泉南池袋ビル7F,1989年5月,2名,登録なし,2000年8月,http://www.human-harbor.co.jp/,コンサルタント・金融・不動産専門職 / 営業 / 企画・経営 / 管理・事務 / クリエイティブ / 建築・土木 / 技能工・設備・倉庫・農林水産・他,関東
ヒューマンリソシア株式会社,〒160-0023 東京都新宿区西新宿7-5-25 西新宿木村屋ビル 1Ｆ,1988年2月,登録なし,登録なし,1989年5月,https://resocia.jp/career/,営業 / 企画・経営 / 管理・事務,登録なし
株式会社ヒルストンキャリア,〒101-0045 東京都千代田区神田鍛冶町3-3-9 喜助新千代田ビル4F,2014年11月4日,14名,登録なし,2015年1月1日,http://www.hillstonecareer.com,管理・事務 / 営業 / 企画・経営 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 医療・福祉 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他 / 公共サービス,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
