社名,本社所在地,設立,転職エージェント数,職業紹介許可番号,紹介事業許可年,ホームページ,注力職種,注力エリア
ヒロテクノス株式会社,〒231-0002 神奈川県横浜市中区海岸通４−２０−２ YT馬車道ビル,2006年8月,3名,登録なし,2012年10月,http://www.hiro-ts.co.jp,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / ITエンジニア / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,関東 / 北海道・東北 / 北信越 / 九州
ビジネス・コンサート株式会社,〒577-0011 大阪府東大阪市荒本北1丁目4-17　クリエイション・コア東大阪 北館307,1987年10月1日,5名,登録なし,2001年,http://www.b-concert.co.jp/,技能工・設備・倉庫・農林水産・他 / 営業 / 管理・事務 / 電気・電子・機械・半導体,関西
株式会社ビッグツリーテクノロジー＆コンサルティング,〒106-0041 東京都港区麻布台2-3-5　ノアビル3階,2002年2月7日,4名,登録なし,2009年8月1日,http://www.bigtreetc.com/,ITエンジニア / WEB・インターネット・ゲーム,関東
株式会社VIVAインテリジェンスネットワーク,〒170-0013 東京都豊島区東池袋3-21-18 第一笠原ビル5F,2017年3月,4名,登録なし,2017年7月1日,http://viva-in.co.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 医療・福祉 / 保育・教育・通訳,関東 / 北海道・東北 / 関西
株式会社ＢＳコーポレーション,〒532-0011 大阪府大阪市淀川区西中島3-12-15　第５新大阪ビル６Ｆ  東京事務所 〒156-0043 東京都世田谷区松原5-26-1　グランパーク３F,２０００年４月,5名,登録なし,２０００年８月,http://www.bs-corp.co.jp,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 公共サービス,【国内】 関東 / 関西 / 東海 【海外】 中国 / シンガポール / その他アジア / アメリカ・カナダ / ヨーロッパ
BT社しごとナビ株式会社,〒164-0001 東京都中野区中野4-1-1　中野サンプラザ9Ｆ,2016年,5名,登録なし,201+稔,http://www.brain-t.biz/shigotonavi,営業 / 企画・経営 / 販売・フード・アミューズメント / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 技能工・設備・倉庫・農林水産・他,北海道・東北 / 関東 / 関西 / 東海 / 中国・四国
株式会社ビーリンク,〒651-0094 兵庫県神戸市中央区琴ノ緒町5-7-8,平成25年11月25日,登録なし,登録なし,平成25年3月1日,https://bl-group.co.jp,営業 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / WEB・インターネット・ゲーム,関西
PMC株式会社,〒170-0013 東京都豊島区東池袋1-31-13-203,1990年2月1日,5名,登録なし,2016年,登録なし,営業 / 企画・経営,登録なし
ピースアンドライト・キャリア株式会社,〒102-0072 東京都千代田区飯田橋1-7-10 山京ビル本館5階,平成29年4月5日,登録なし,登録なし,2017年,https://peace-light.jp/,営業 / 企画・経営 / 管理・事務,登録なし
株式会社PW Solutions,〒100-0004 東京都千代田区大手町1-1-3　大手センタービル17F,2016年8月,2名,登録なし,2017年2月,https://pwgroup.co.jp/,販売・フード・アミューズメント,登録なし
PTSコンサルティング・ジャパン株式会社,〒108-0075 東京都港区港南2-12-23　明産高浜ビル6階,1997年10月16日,5名,登録なし,２００８年１０月,www.ptsconsulting.co.jp,登録なし,登録なし
株式会社ファイブスターコンサルタント,〒162-0845 東京都新宿区市谷本村町3番18号エムズビル4階,2014年,5名,登録なし,2014年,http://5starcon.co.jp,建築・土木 / 営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / クリエイティブ / ITエンジニア / 電気・電子・機械・半導体,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社FastForward,〒151-0051 東京都渋谷区千駄ヶ谷5−21−8代々木第十下田ビル5階,2017/3/30,登録なし,登録なし,2017/6/30,http://fastforward.co.jp,営業 / 企画・経営 / 管理・事務 / 美容・ホテル・ブライダル・交通 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 医薬・食品・化学・素材,【国内】 関東 【海外】 その他アジア
株式会社ファンオブライフ,〒150-0001 東京都渋谷区神宮前6-19-16 U-natura301　渋谷駅より徒歩7分,2015年 6月17日,3名,登録なし,2015年9月,https://education-career.jp/,保育・教育・通訳 / 営業 / 企画・経営 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
株式会社フィデス,〒102-0074 東京都千代田区九段南2-2-1　エース九段ビル3階,2012年,3名,登録なし,2013年1月1日,https://www.mri-fides.com/,営業 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 医療・福祉 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体,関東 / 関西 / 東海
フィナンシャル・アドバイザーズ株式会社,〒102-0072 東京都千代田区飯田橋2-6-6　ヒューリック飯田橋ビル６Ｆ,2002年 4月1日,5名,登録なし,2005年,http://www.financial-a.com,登録なし,登録なし
株式会社For needs,〒132-0025 東京都江戸川区松江4-4-1,2006年4月,登録なし,登録なし,2010年10月,http://www.for-needs.co.jp/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,関東
株式会社富士誇,〒150-0034 東京都渋谷区代官山町14-15　HARAPPA代官山3F,2007年1月,31名,登録なし,2007年5月1日,http://www.fujico.co.jp/,ITエンジニア / 営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / 電気・電子・機械・半導体 / 建築・土木 / 技能工・設備・倉庫・農林水産・他,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
富士ヒューマンテック株式会社,〒330-0074 埼玉県さいたま市浦和区北浦和4-5-5　 北浦和大栄ビル3F,2002年9月1日,9名,登録なし,平成14年9月6日,http://www.fujihumantec.com/,営業 / 管理・事務,登録なし
株式会社フレアエージェント,〒060-0061 北海道札幌市中央区南一条西5丁目7豊川南一条ビル5F,平成26年3月,登録なし,登録なし,平成26年,http://www.hurea.co.jp/,営業 / 医療・福祉 / 販売・フード・アミューズメント,登録なし
株式会社プロエクス,〒160-0022 東京都新宿区新宿２丁目４−１　第２２宮廷マンション９０３,2006年7月13日,1名,登録なし,2006年10月,http://www.proex.jp,登録なし,登録なし
株式会社フロンティア,〒460-0003 愛知県名古屋市中区錦3-10-14　協和錦ビル4F,2003年,登録なし,登録なし,2006年,http://frontier.sc,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / クリエイティブ / ITエンジニア / 建築・土木 / 技能工・設備・倉庫・農林水産・他,東海
株式会社ブライナ,〒330-0854 埼玉県さいたま市大宮区桜木町1-9-18 タナカビル5F,2002年,2名,登録なし,2005年,登録なし,電気・電子・機械・半導体 / 医薬・食品・化学・素材,登録なし
株式会社ブリッジ・ワークス,〒214-0037 神奈川県川崎市多摩区西生田3丁目16-19-1,2009年8月3日,3名,登録なし,2009年,http://bridge-worx.com/,クリエイティブ / WEB・インターネット・ゲーム,関東
株式会社ブレーンパワー,〒530-0011 大阪府大阪市北区大深町3番1号　グランフロント大阪　ナレッジキャピタルタワーC11階,昭和61年6月,5名,登録なし,平成12年11月,www.brain-power.co.jp,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,【国内】 関東 / 関西 【海外】 シンガポール / その他アジア
株式会社プラットイン,〒541-0053 大阪府大阪市中央区本町4-7-4本町グラマシー3F,2016年9月13日,2名,登録なし,2017年,http://www.platin.co.jp/,管理・事務 / 営業 / 販売・フード・アミューズメント / ITエンジニア / 建築・土木 / 医薬・食品・化学・素材,関西
株式会社プルミエール,〒101-0045 東京都千代田区神田鍛冶町3-3-9　共同ビル（新千代田）4階,2004年,登録なし,登録なし,2004年,http://www.prem-biz.com/index.htm,登録なし,登録なし
株式会社 プレコ,〒730-0044 広島県広島市中区宝町4-28大興ビル6F,平成9年7月1日,3名,登録なし,平成１４年,http://www.pureco.co.jp,管理・事務 / 電気・電子・機械・半導体,中国・四国
有限会社プレジール（アーク・キャリア）,〒273-0102 千葉県鎌ケ谷市右京塚9-27,2016年11月1日,登録なし,登録なし,2016年11月1日,登録なし,医療・福祉,登録なし
株式会社プレンティー東京本社,〒105-0013 東京都港区浜松町2-7-8　加藤ビル2階,2010年3月,3名,登録なし,2010年,http://www.plenty-tokyo.com/,美容・ホテル・ブライダル・交通 / 販売・フード・アミューズメント,関東
プレースメント株式会社,〒550-0002 大阪府大阪市西区江戸堀1-6-13　肥後橋堀田ビル2F,2001年4月,2名,登録なし,2010年4月1日,http://www.placement.co.jp,営業 / 管理・事務 / 電気・電子・機械・半導体 / 建築・土木,関西
株式会社プロフィールド,〒450-0002 愛知県名古屋市中村区名駅4-24-8　EME名古屋ビル2F,平成12年1月,14名,登録なし,15,http://www.profield.info/,クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,【国内】 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州 【海外】 その他海外
株式会社ベストスタッフ,〒410-0822 静岡県沼津市下香貫藤井原1672-3　ハイツさんさん101,2012年8月1日,登録なし,登録なし,2012年11月,登録なし,営業 / 管理・事務 / 販売・フード・アミューズメント,東海 / 関東
株式会社ベルキャリエール,〒420-0859 静岡県静岡市葵区栄町１－３　鈴与静岡ビル５Ｆ,1980年4月10日,10名,登録なし,2001年3月,http://www.bellenet.co.jp/,管理・事務 / 営業 / 企画・経営 / 医療・福祉 / 保育・教育・通訳 / WEB・インターネット・ゲーム / ITエンジニア / 建築・土木,東海 / 関東 / 関西 / 九州
ベースメントアップス株式会社,〒150-0002 東京都渋谷区渋谷一丁目8番8号新栄宮益ビル４階,2014年,登録なし,登録なし,2016年5月,登録なし,WEB・インターネット・ゲーム / 営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / ITエンジニア,登録なし
株式会社北海道アルバイト情報社　ジョブキタ人材サービス事業部,〒060-0061 北海道札幌市中央区南一条西6丁目20-1　ジョブキタビル2階,昭和46年4月12日,10名,登録なし,昭和46年4月12日,http://www.jobkita.jp/hrs/,営業 / 管理・事務 / 医療・福祉 / ITエンジニア,北海道・東北
株式会社Hold Hands,〒273-0005 千葉県船橋市本町6丁目4番15号　グラン大誠405,2016年12月,3名,登録なし,2017年5月,登録なし,営業 / 企画・経営 / 管理・事務 / 医療・福祉 / 医薬・食品・化学・素材,登録なし
株式会社マイナビ　（マイナビエージェント）,〒100-0003 東京都千代田区一ツ橋1番1号,1973年8月15日,登録なし,登録なし,2007年,http://mynavi-agent.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社マイナビ　【マイナビHRコンシェルジュ】,〒100-0003 東京都千代田区一ツ橋１丁目１番1号,昭和48年8月15日,5000名,登録なし,2007年,http://www.mynavi.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材,登録なし
【テスト画面】マイナビ転職エージェントサーチ,〒100-0003 東京都,*,登録なし,登録なし,*,登録なし,登録なし,登録なし
株式会社マイナビミドルシニア【マイナビミドルシニア　人材紹介サービス】,〒160-0022 東京都新宿区新宿４丁目１番６号　ＪＲ新宿ミライナタワー２７階,2017（平成29）年6月1日,6名,登録なし,2017年,http://m-s.mynavi.jp/jinzai/,美容・ホテル・ブライダル・交通 / 営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 建築・土木 / 技能工・設備・倉庫・農林水産・他,関東
株式会社マイナビワークス（マイナビジョブ20’s｜20代・第二新卒専門）,〒163-1527 東京都新宿区西新宿新宿エルタワー（２７階）,2016年12月1日,登録なし,登録なし,2016年,https://mynavi-job20s.jp/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア,関東 / 関西 / 東海
株式会社マイナビワークス（マイナビクリエイター）,〒163-1527 東京都新宿区西新宿1-6-1 新宿エルタワー27F,2016年12月1日,登録なし,登録なし,2016年,https://creator.mynavi-agent.jp/,WEB・インターネット・ゲーム / 営業 / 企画・経営 / 管理・事務 / 美容・ホテル・ブライダル・交通 / クリエイティブ / ITエンジニア,関東
株式会社マイナビワークス（マイナビスタッフ）,〒163-1527 東京都新宿区西新宿1-6-1 新宿エルタワー27F,2016年12月1日,登録なし,登録なし,2016年,http://staff.mynavi.jp/,管理・事務 / 保育・教育・通訳 / クリエイティブ / 公共サービス,関東
株式会社マックス,〒113-0022 東京都文京区千駄木３−３３−４−１０２,１９９９年７月８日,5名,登録なし,平成１９年７月１日,http://max-kyujin.com/,営業 / 管理・事務 / 美容・ホテル・ブライダル・交通 / コンサルタント・金融・不動産専門職,登録なし
株式会社マックス・エンジニアリング,〒160-0022 東京都新宿区新宿1-9-10　YKB東ビル4階,2013年3月,4名,登録なし,2013年,http://www.macs-engineering.jp/,営業 / ITエンジニア / 建築・土木,【国内】 関東 【海外】 その他アジア
株式会社ＭＡＰ,〒150-0002 東京都渋谷区渋谷3-8-10 JS渋谷ビル7F,2007年5月1日,30名,登録なし,2007年,https://map-on.co.jp/,営業 / 企画・経営 / 管理・事務,関東 / 関西
株式会社マニューバー,〒182-0022 東京都調布市国領町2-5-15-606,2004 年 12月,登録なし,登録なし,2007年,http://www.maneuver.jp/,営業,登録なし
Man to Man 株式会社,〒460-0007 愛知県名古屋市中区新栄1丁目7番7号 名古屋センターステージ4F,1991年7月12日,登録なし,登録なし,2005年,http://www.man-to-man-g.com/index.html,登録なし,登録なし
マンパワーグループ株式会社,〒220-8136 神奈川県横浜市西区みなとみらい二丁目2-1　横浜ランドマークタワー36階,1966年 11月 30日,30名,登録なし,2000年,https://tenshoku.manpowergroup.jp,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / 医薬・食品・化学・素材,関東 / 関西
マンパワーグループ株式会社エクスペリス事業本部,〒220-8136 神奈川県横浜市西区みなとみらい2-2-1　横浜ランドマークタワー36階,1966年11月30日,20名,登録なし,2000年,http://www.experis.jp/,登録なし,登録なし
株式会社マーキュリースタッフィング,〒530-0012 大阪府大阪市北区芝田2-1-18,平成15年4月1日,登録なし,登録なし,平成15年4月1日,http://www.msso.co.jp/,営業 / 管理・事務 / コンサルタント・金融・不動産専門職,登録なし
マークラインズ株式会社,〒107-0052 東京都港区赤坂8-4-14 青山タワープレイス2F,2001年1月4日,登録なし,登録なし,平成22年6月1日,https://www.marklines.com/portal_top_ja.html,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / ITエンジニア,【国内】 関東 / 北信越 / 関西 / 東海 【海外】 中国 / 韓国 / メキシコ・ブラジル
三井業際ヒューマンアセット株式会社,〒107-0052 東京都港区赤坂 ３－１１－３ 赤坂中川ビル４階,2004年６月４日,登録なし,登録なし,２００４年９月１日,http://www.mitsui-human.co.jp/,登録なし,登録なし
株式会社ミナジンキャリア,〒583-0033 大阪府藤井寺市小山9丁目2-15,1976年,2名,登録なし,平成28年11月,http://www.minakyari.com/company/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / ITエンジニア,関西
みらい人材サポート株式会社,〒460-0002 愛知県名古屋市中区丸の内3-14-32 丸の内三丁目ビル 9F,2014年11月,登録なし,登録なし,2015年5月,http://www.career-on.jp/,電気・電子・機械・半導体 / 管理・事務 / ITエンジニア / 医薬・食品・化学・素材,東海
株式会社未来想創サポート,〒151-0051 東京都渋谷区千駄ヶ谷1-31-10 セシア千駄ヶ谷3F,2015年4月,4名,登録なし,2015年8月1日,https://www.mirasapo.co.jp,建築・土木,【国内】 関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州 【海外】 香港 / シンガポール
株式会社みらいデザイン,〒812-0013 福岡県福岡市博多区博多駅東1丁目1番33号　はかた近代ビル5階,2014年1月6日,登録なし,登録なし,2017年2月,http://www.mirai-sd.com/,登録なし,登録なし
Mutsubi Agent株式会社,〒770-0942 徳島県徳島市昭和町1-67,2012年6月,2名,登録なし,2012年,http://mutsubi-a.jp/itsuka/,登録なし,中国・四国
株式会社メイツ中国,〒730-0021 広島県広島市中区胡町4-21朝日生命広島胡町ビル2F,1989年６月,10名,登録なし,2000年,https://seisyain.mateschugoku.co.jp/,営業 / 管理・事務 / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木,中国・四国
株式会社メイテックネクスト,〒110-0005 東京都台東区上野1-1-10　オリックス上野1丁目ビル　7階,2006年7月3日,39名,登録なし,2006年,http://www.m-next.jp/,電気・電子・機械・半導体,関東 / 関西 / 東海
株式会社MORIパーソネル・クリエイツ,〒541-0041 大阪府大阪市中央区北浜2丁目1番14号 北二ビル8F,1998年6月,9名,登録なし,平成18年09月01,http://www.moripc.com/index.html,登録なし,関西
やる気スイッチグループホールディングス,〒104-0032 東京都中央区八丁堀二丁目24-2 八丁堀第一生命ビル,平成元年11月,登録なし,登録なし,平成19年10月01,https://www.yarukiswitch.jp/,保育・教育・通訳 / 営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
株式会社優クリエイト,〒150-0044 東京都渋谷区円山町28-3　いちご渋谷道玄坂ビル,1984年5月,18名,登録なし,2002年,http://www.y-create.co.jp/,クリエイティブ / WEB・インターネット・ゲーム,関東
郵船コーディアルサービス株式会社,〒101-0054 東京都千代田区神田錦町1-6　住友商事錦町ビル10階,1971年3月18日,登録なし,登録なし,1999年5月1日,http://www.ycsco.com/,営業 / 企画・経営 / 管理・事務 / ITエンジニア / 公共サービス,関東 / 関西
株式会社夢エージェント,〒150-0041 東京都渋谷区神南1-22-3 　渋谷住友信託ビル8F,2015年2月3日,9名,登録なし,2015年6月1日,http://www.yume-ag.co.jp/company/,建築・土木 / 営業 / 管理・事務 / 販売・フード・アミューズメント / 電気・電子・機械・半導体 / 技能工・設備・倉庫・農林水産・他,関東 / 関西 / 東海
ユーコネクト株式会社,〒810-0001 福岡県福岡市中央区天神１－６－８天神ツインビル８階,２００８年５月,3名,登録なし,２００８年,http://youcaree.com/,管理・事務 / 営業 / 企画・経営 / 医療・福祉 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,九州
Ｒｉｇｈｔ　Ｓｔｕｆｆ株式会社,〒151-0063 東京都渋谷区富ヶ谷2-15-1-906,2015年11月,2名,登録なし,2016年4月,http://rightstuff.oops.jp/corporatesite.rightstufftekizaitekisyo.co.jp,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / クリエイティブ / ITエンジニア,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
株式会社ライフライン,〒921-8013 石川県金沢市新神田2丁目14番21号,平成13年2月22日,登録なし,登録なし,平成18年8月1日,http://lifeline-lg.com,営業 / 管理・事務 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体,北信越
ランスタッド株式会社,〒103-0027 東京都中央区日本橋3-6-2　日本橋フロント4階,1980年8月,登録なし,登録なし,2001年1月,https://www.randstad.co.jp/tenshoku/,営業 / 管理・事務 / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
リクルーティング・パートナーズ株式会社,〒810-0001 福岡県福岡市中央区天神2-3-25天神ZEROビル５F,2007年8月8日,6名,登録なし,2008年,http://www.3140pa.com/,管理・事務 / 営業 / 企画・経営 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,九州
株式会社リグア,〒541-0047 大阪府大阪市中央区淡路町2丁目6-6淡路町パークビル2号館8F,2004年10月1日,登録なし,登録なし,平成29年10月01,http://ligua.jp/,医療・福祉,登録なし
リス株式会社　広島支社・岡山オフィス,〒163-0825 東京都新宿区西新宿新宿ＮＳビル（２５階）,1980年,15名,登録なし,17年,http://www.shigotonavi.co.jp,管理・事務 / 営業 / コンサルタント・金融・不動産専門職 / クリエイティブ / ITエンジニア / 建築・土木 / 医薬・食品・化学・素材,中国・四国
株式会社RETOWN≪飲食人キャリア≫,〒556-0017 大阪府大阪市浪速区湊町1-4-1　OCATビル6F,平成16年7月22日,9名,登録なし,平成18年7月,http://lp.insyokujin.careers/lp01/,販売・フード・アミューズメント,関東 / 関西 / 東海 / 九州
株式会社Ripple,〒104-0061 東京都中央区銀座2-12-5 銀座NFビル2F,2016年7月,3名,登録なし,2016年11月,http://ripple.jp/,営業 / 企画・経営 / 管理・事務 / 医療・福祉 / 保育・教育・通訳 / ITエンジニア / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,関東
株式会社リトルタイガ－(ON YOUR MARK),〒108-0074 東京都港区高輪3-25-29 THE SITE-4,平成２２年３月２５日,5名,登録なし,平成２５年６月１日,http://www.littletiger.co.jp,登録なし,登録なし
株式会社re-Right,〒103-0023 東京都中央区日本橋本町４−１２−１１　日本橋NSビル３A,2016年6月,6名,登録なし,2016年6月,http://www.reright.co.jp,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / WEB・インターネット・ゲーム / ITエンジニア / 医薬・食品・化学・素材,関東 / 関西 / 東海
LINK株式会社,〒542-0066 大阪府大阪市中央区瓦屋町3-7-13,2017年3月,登録なし,登録なし,2017年6月,http://link-jinzai.com/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント,関西
ルーセントドアーズ株式会社,〒105-0001 東京都港区虎ノ門2-5-5　ニュー虎ノ門ビル4階,2014年9月,登録なし,登録なし,2014年,http://lucentdoors.co.jp/,企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職,登録なし
株式会社ルーチェ,〒162-0067 東京都新宿区富久町16-5　新宿高砂ビル9階,2007年2月,4名,登録なし,2009年6月,http://www.luce.co.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,関東 / 九州
株式会社レゾナンス,〒160-0022 東京都新宿区東京都新宿区 新宿6丁目27−29 コンフォリア新宿イーストサイドタワー,2011年5月,4名,登録なし,2012年8月,http://resonanceinc.com/,登録なし,登録なし
レバテック株式会社,〒150-8510 東京都渋谷区渋谷2-21-1　渋谷ヒカリエ17階,2005年4月6日,登録なし,登録なし,2017年8月1日,https://levtech.jp/company/,ITエンジニア / クリエイティブ / WEB・インターネット・ゲーム,関東
株式会社ROMU,〒101-0052 東京都千代田区神田小川町3-22　タイメイビル5－B,2009年6月,登録なし,登録なし,平成26年12月01,登録なし,営業 / 企画・経営 / 管理・事務,登録なし
株式会社ワイズエージェンシー,〒104-0061 東京都中央区銀座7-12-6　田丸屋ビル4階,平成１３年８月１３日,4名,登録なし,平成２７年２月,http://www.wise-ag.com,管理・事務 / ITエンジニア / 電気・電子・機械・半導体,【国内】 関東 【海外】 中国
株式会社ワイズキャリアデザイン,〒367-0052 埼玉県本庄市寿1-25-13,昭和55年3月8日,登録なし,登録なし,平成28年8月1日,http://www.ys-humansupport.jp/,営業 / 管理・事務 / 販売・フード・アミューズメント / 医療・福祉 / 建築・土木,関東 / 関西
株式会社ワコールキャリアサービス,〒600-8492 京都府京都市下京区月鉾町62 住友生命京都ビル8F,1998年12月,登録なし,登録なし,2001年4月,http://www.e-wacs.co.jp/,クリエイティブ / 営業 / WEB・インターネット・ゲーム,関東 / 関西 / 東海
株式会社ワン＆オンリーキャスティング,〒151-0053 東京都渋谷区代々木2-13-4　新中央ビル4F,2008年6月16日,53名,登録なし,2008年,https://www.oneandonlycasting.com/,登録なし,登録なし
株式会社ワークデザイン,〒657-0038 兵庫県神戸市灘区深田町３－３－１　ERC六甲ビル４F,平成19年5月21日,5名,登録なし,平成19年,http://www.wkd.co.jp,管理・事務 / 営業 / ITエンジニア,登録なし
株式会社ワークポート,〒141-0032 東京都品川区大崎1-2-2　アートヴィレッジ大崎セントラルタワー9F,2003年3月,286名,登録なし,2003年8月,http://www.workport.co.jp/,WEB・インターネット・ゲーム / 営業 / 管理・事務 / 販売・フード・アミューズメント / クリエイティブ / ITエンジニア / 電気・電子・機械・半導体,関東 / 関西 / 九州
株式会社ワークリレーション,〒500-8383 岐阜県岐阜市江添2丁目8－17　山田商業ビル2階,2001年4月,2名,登録なし,2002年2月,http://www.work-re.com/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / 電気・電子・機械・半導体 / 技能工・設備・倉庫・農林水産・他,東海
株式会社ヴィアックス,〒164-8677 東京都中野区弥生町2-8-15,1973年,3名,登録なし,2017年,http://www.viax.co.jp/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / ITエンジニア,関東
株式会社ヴィクサス,〒141-0031 東京都品川区西五反田2-23-5　ジニアスビル2F,2009年8月,4名,登録なし,2009年8月,http://vixx.co.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 医療・福祉 / 保育・教育・通訳 / ITエンジニア,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
